interactionId,agentName,duration_ID,duration_CS
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.019
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,3.085
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.609
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.928
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,7.184
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,3.744
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,3.884
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.212
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.885
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,1.926
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,2.986
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.077
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.215
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.354
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,2.326
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.02
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,5.264
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.468
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.232
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.53
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.827
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.019
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,5.444
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.433
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.529
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.747
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,4.584
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,0.708
8c581d83-c825-4d81-9457-6286971a50f2,1073cbb9-f2f1-42c7-881b-467c4da9ac44,531,2.404
